city,country,country_norm,lat,lon,crime_index,safety_index,crimeindex_2023,crimeindex_2020,safetyindex_2020,age_0_14,age_15_64,age_65_plus,population,density_per_km2,num_cities_25km,sum_pop_25km,pop_gravity_25km,num_cities_50km,sum_pop_50km,pop_gravity_50km,num_cities_100km,sum_pop_100km,pop_gravity_100km,dist_to_nearest_large_city,pop_of_nearest_large_city,dist_nearest_labeled_city,crime_nearest_labeled_city,safety_nearest_labeled_city,same_country_as_nearest_labeled,avg_crime_k3,avg_safety_k3,avg_crime_k5,avg_safety_k5,avg_crime_k10,avg_safety_k10,wavg_crime_k5,wavg_safety_k5,num_labeled_within_50km,num_labeled_within_100km,num_labeled_within_250km,avg_crime_same_country_k5,avg_safety_same_country_k5,num_same_country_within_250km,log1p_sum_pop_25km,log1p_pop_gravity_25km,log1p_sum_pop_50km,log1p_pop_gravity_50km,log1p_sum_pop_100km,log1p_pop_gravity_100km,log1p_pop_of_nearest_large_city,log1p_num_cities_25km,log1p_num_cities_50km,log1p_num_cities_100km,log1p_num_labeled_within_50km,log1p_num_labeled_within_100km,log1p_num_labeled_within_250km,log1p_num_same_country_within_250km,log1p_dist_to_nearest_large_city,log1p_dist_nearest_labeled_city,sum_pop_50km_country_z,sum_pop_100km_country_z,pop_gravity_50km_country_z,pop_gravity_100km_country_z,dist_to_nearest_large_city_country_z
Caracas,Venezuela,venezuela,10.5060934,-66.9146008,83.6,16.4,83.76,84.49,15.51,27.6,65.8,7.0,32219521.0,35.0,9,5180367.0,353304.0,19,6465431.0,354194.5625,34,9243588.0,354667.9375,3.079200506210327,3242000.0,590.1002807617188,76.19999694824219,23.799999237060547,0,70.5999984741211,29.399999618530273,66.5999984741211,33.400001525878906,63.900001525878906,36.099998474121094,67.9183120727539,32.08168411254883,0,0,0,66.5999984741211,33.400001525878906,0,15.460386654183312,12.775086985525611,15.681980389301357,12.777604476019754,16.0394407881158,12.778940062920684,14.991701289729283,2.302585092994046,2.995732273553991,3.5553480614894135,0.0,0.0,0.0,0.0,1.4059010148542923,6.381985682811972,0.0,0.0,0.0,0.0,0.0
Pretoria,South Africa,south africa,-25.7459277,28.1879101,82.0,18.0,76.86,77.49,22.51,29.0,65.7,5.0,58775022.0,48.0,4,3087153.0,3633553664.0,18,4257637.0,3633554176.0,41,16239880.0,3633558016.0,0.0268491879105567,2818100.0,52.88252639770508,80.69999694824219,19.299999237060547,1,69.2300033569336,30.76999855041504,69.85800170898438,30.141998291015625,69.57400512695312,30.42599868774414,75.71797943115234,24.282014846801758,0,1,1,76.70399475097656,23.29599952697754,1,14.942760188861316,22.013476977417884,15.264225104381817,22.013477118326758,16.602980565084753,22.013478175142698,14.85157381182049,1.6094379124341003,2.9444389791664403,3.7376696182833684,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.026495072948665484,3.9868062397841153,0.014894893123565579,1.263754784782644,2.0411121502430203,2.0411121446062106,-0.41839711932924933
Durban,South Africa,south africa,-29.861825,31.009909,81.0,19.0,76.86,77.49,22.51,29.0,65.7,5.0,58775022.0,48.0,9,1157022.0,42828.0625,12,1205953.0,42880.171875,22,2265236.0,43116.88671875,4.543538093566895,838634.0,471.3551330566406,71.31999969482422,28.68000030517578,1,78.00666046142578,21.993331909179688,73.3179931640625,26.6820011138916,69.67399597167969,30.325998306274414,74.34547424316406,25.65452766418457,0,0,0,76.90399932861328,23.095998764038086,0,13.961360884975637,10.664972181506906,14.002781512921587,10.66618812454569,14.63318994718692,10.671693195076458,13.639530849074912,2.302585092994046,2.5649493574615367,3.1354942159291497,0.0,0.0,0.0,0.0,1.7126329419604056,6.157731103217896,-0.6593259291647261,-0.6641284236665981,-0.41785076219884165,-0.4178508077712085,-0.3871596814345542
Port Moresby,Papua New Guinea,papua new guinea,-9.4743301,147.1599504,80.7,19.3,80.79,81.93,18.07,35.9,60.3,4.0,8935000.0,19.0,1,317374.0,198545.1875,1,317374.0,198545.1875,1,317374.0,198545.1875,2093.3017578125,2706966.0,841.492431640625,61.70000076293945,38.29999923706055,0,62.23333740234375,37.766666412353516,60.70000076293945,39.29999923706055,54.20000076293945,45.79999923706055,60.77033233642578,39.22966003417969,0,0,0,60.70000076293945,39.29999923706055,0,12.66783931900698,12.198777034662628,12.66783931900698,12.198777034662628,12.66783931900698,12.198777034662628,14.811339377905213,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.0,7.646975486975871,6.7363646789702925,0.0,0.0,0.0,0.0,0.0
Johannesburg,South Africa,south africa,-26.205,28.049722,80.7,19.3,76.86,77.49,22.51,29.0,65.7,5.0,58775022.0,48.0,15,11476027.0,45083284.0,25,12399809.0,45084068.0,42,15894194.0,45085232.0,0.4166351854801178,7860781.0,52.88252639770508,82.0,18.0,1,69.663330078125,30.336668014526367,73.37799835205078,26.621999740600586,69.7040023803711,30.29599952697754,77.34004974365234,22.659942626953125,0,1,1,76.96400451660156,23.035999298095703,1,16.255770895954935,17.624022114933457,16.33319170787723,17.62403950481938,16.58146450618767,17.62406532291876,15.877396650550626,2.772588722239781,3.258096538021482,3.7612001156935624,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.34828447200726864,3.9868062397841153,1.8137777070232697,1.216065395715131,-0.38736933490044523,-0.38736878267002983,-0.41570135786645457
San Pedro Sula,Honduras,honduras,15.5053535,-88.0250839,80.5,19.5,74.54,76.11,23.89,31.6,63.7,5.0,9158345.0,81.0,6,1239669.0,76594336.0,10,1597716.0,76594736.0,21,2133256.0,76594816.0,0.0958927348256111,719064.0,236.95309448242188,66.19999694824219,33.79999923706055,0,59.81666564941406,40.18333435058594,52.4900016784668,47.51000213623047,52.845001220703125,47.154998779296875,57.04670333862305,42.95329666137695,0,0,1,52.4900016784668,47.51000213623047,0,14.030355773130347,18.15403370247398,14.28408629325448,18.154038924778543,14.573160477771626,18.154039969236184,13.485707035955018,1.9459101490553132,2.3978952727983707,3.091042453358316,0.0,0.0,0.6931471805599453,0.0,0.0915693140516123,5.472073572241634,0.0,0.0,0.0,0.0,0.0
Kabul,Afghanistan,afghanistan,34.5269503,69.1850584,79.8,20.2,76.31,76.23,23.77,43.2,54.2,3.0,31575018.0,49.0,3,4447836.0,10222945.0,6,4555852.0,10223039.0,14,4941392.0,10223121.0,0.6455473899841309,4273156.0,369.00927734375,31.200000762939453,68.80000305175781,0,39.16666793823242,60.83333206176758,38.892005920410156,61.108001708984375,45.84600067138672,54.15400314331055,39.19597244262695,60.804039001464844,0,0,0,38.892005920410156,61.108001708984375,0,15.307928468557632,16.14014535951841,15.331923337883815,16.140154554477267,15.413157833219813,16.14016257554254,15.267863456286774,1.3862943611198906,1.9459101490553132,2.70805020110221,0.0,0.0,0.0,0.0,0.49807308873382167,5.913528079225952,0.0,0.0,0.0,0.0,0.0
Rio de Janeiro,Brazil,brazil,-22.9110137,-43.2093727,77.6,22.4,67.49,68.88,31.12,21.7,69.7,9.0,211270518.0,25.0,3,13985440.0,83962168.0,8,14845148.0,83962712.0,37,16313132.0,83963000.0,0.3862776756286621,12592000.0,340.89532470703125,63.70000076293945,36.29999923706055,1,67.0,33.0,61.84400177001953,38.15599822998047,61.99200439453125,38.00800323486328,62.19319534301758,37.80682373046875,0,0,0,61.84400177001953,38.15599822998047,0,16.453527417907218,18.24587688631337,16.513183703179138,18.245883365400847,16.60748104689201,18.245886795488985,16.34857232905482,1.3862943611198906,2.1972245773362196,3.6375861597263857,0.0,0.0,0.0,0.0,0.32662222386812223,5.834504622106107,0.9715546252309979,0.45804856368093977,-0.2784070787191815,-0.27840726046025555,-0.4170224657794546
Fortaleza,Brazil,brazil,-3.7304512,-38.5217989,77.3,22.7,67.49,68.88,31.12,21.7,69.7,9.0,211270518.0,25.0,5,4892823.0,8189105.5,11,5204400.0,8189437.5,34,5787828.0,8189557.5,0.7125291228294373,4167996.0,433.6449890136719,77.19999694824219,22.799999237060547,1,76.73333740234375,23.26666831970215,67.16400146484375,32.83599853515625,67.69200134277344,32.30799865722656,72.4193344116211,27.58065414428711,0,0,0,67.16400146484375,32.83599853515625,0,15.403280199871626,15.918315353418704,15.465015171756548,15.918355894260403,15.571267822413185,15.9183705471723,15.242946142645406,1.791759469228055,2.4849066497880004,3.5553480614894135,0.0,0.0,0.0,0.0,0.5379712970414305,6.074529580673782,-0.12616665857152642,-0.33860030738636593,-0.3221368322423488,-0.3221371084864731,-0.415625634506137
Natal,Brazil,brazil,-5.805398,-35.2080905,77.2,22.8,67.49,68.88,31.12,21.7,69.7,9.0,211270518.0,25.0,5,1194309.0,559988.5625,14,1439935.0,560217.1875,33,1776935.0,560287.875,1.159631371498108,751300.0,253.0609588623047,76.4000015258789,23.600000381469727,1,76.76667022705078,23.233335494995117,67.94400787353516,32.055999755859375,67.7020034790039,32.29800033569336,73.75027465820312,26.249710083007812,0,0,0,67.94400787353516,32.055999755859375,0,13.993079170727048,13.235673424144778,14.180109226120056,13.236081607364675,14.390401090731311,13.236207777921665,13.529561649382588,1.791759469228055,2.70805020110221,3.5263605246161616,0.0,0.0,0.0,0.0,0.769937545788301,5.5375742337451035,-0.5547986851144534,-0.6421804586505726,-0.326539755648273,-0.32654006010441344,-0.41371138582258493
Port Elizabeth,South Africa,south africa,-33.9618598,25.6186731,76.9,23.1,76.86,77.49,22.51,29.0,65.7,5.0,58775022.0,48.0,4,1201922.0,309290.25,5,1305561.0,309408.21875,10,1397269.0,309426.5,1.7722671031951904,967677.0,541.7476806640625,71.31999969482422,28.68000030517578,1,75.3066635131836,24.693334579467773,77.7239990234375,22.2760009765625,70.08399963378906,29.916000366210938,76.95365905761719,23.04633140563965,0,0,0,77.7239990234375,22.2760009765625,0,13.9994333321252,12.642038668586611,14.082144157376252,12.642420012249298,14.150030890860242,12.642479094877887,13.782654666292117,1.6094379124341003,1.791759469228055,2.3978952727983707,0.0,0.0,0.0,0.0,1.0196654342595866,6.296644535444917,-0.6373191330264325,-0.7838695065011994,-0.4176703905062743,-0.4176705840784199,-0.4063258022941725
Salvador,Brazil,brazil,-12.9822499,-38.4812772,76.6,23.4,67.49,68.88,31.12,21.7,69.7,9.0,211270518.0,25.0,5,2674826.0,1539488.25,13,3081741.0,1539771.25,45,4651396.0,1540037.625,1.252440094947815,2417678.0,673.9737548828125,76.4000015258789,23.600000381469727,1,66.44000244140625,33.55999755859375,68.06400299072266,31.935998916625977,67.76200103759766,32.237998962402344,68.17696380615234,31.82303810119629,0,0,0,68.06400299072266,31.935998916625977,0,14.799395263323666,14.246961263535693,14.941005579482757,14.247145073842676,15.352678162550978,14.247318055244115,14.698318547001806,1.791759469228055,2.6390573296152584,3.828641396489095,0.0,0.0,0.0,0.0,0.8120141152289756,6.514673808461526,-0.36785827446637015,-0.4246156158130642,-0.3259744421126181,-0.3259746336666319,-0.4133140293404497
Recife,Brazil,brazil,-8.0584933,-34.8848193,76.4,23.6,67.49,68.88,31.12,21.7,69.7,9.0,211270518.0,25.0,8,3155742.0,3264653.0,22,3988230.0,3265349.75,74,5423898.0,3265636.75,0.6758772730827332,1488920.0,253.0609588623047,77.19999694824219,22.799999237060547,1,77.03333282470703,22.96666717529297,68.10400390625,31.895999908447266,67.78199768066406,32.21799850463867,73.57089233398438,26.42911148071289,0,0,0,68.10400390625,31.895999908447266,0,14.964734525439471,14.998664342642277,15.198858332157663,14.998877742181579,15.506325487485045,14.998965630868012,14.213562254516532,2.1972245773362196,3.1354942159291497,4.31748811353631,0.0,0.0,0.0,0.0,0.5163367732944426,5.5375742337451035,-0.26464301888320724,-0.3661457753032569,-0.3249785880600144,-0.32497876776690815,-0.4157825577945711
Port of Spain,Trinidad And Tobago,trinidad and tobago,10.6572678,-61.5180173,76.2,23.8,73.19,73.19,26.81,20.7,69.3,10.0,1363985.0,265.0,9,342489.0,78180.171875,20,687597.0,78486.59375,26,773172.0,78514.4765625,208.2713165283203,647459.0,590.1002807617188,83.5999984741211,16.399999618530273,0,73.06666564941406,26.933334350585938,68.08000183105469,31.920001983642578,63.529998779296875,36.46999740600586,71.57290649414062,28.427095413208008,0,0,0,68.08000183105469,31.920001983642578,0,12.743997739177882,11.266784128682033,13.44095964381877,11.270695849879369,13.558258105892842,11.27105103800069,13.380812294585834,2.302585092994046,3.044522437723423,3.295836866004329,0.0,0.0,0.0,0.0,5.34363157528416,6.381985682811972,0.0,0.0,0.0,0.0,0.0
Baltimore,MD,united states,39.2908816,-76.610759,75.5,24.5,47.81,47.2,52.8,18.9,65.7,15.0,329470935.0,34.0,43,3429983.0,848305.9375,104,4817950.0,849296.625,272,14743760.0,851889.1875,1.6116015911102295,2189589.0,0.0,75.75,24.25,1,65.09333038330078,34.90666580200195,64.76599884033203,35.23400115966797,55.46099853515625,44.53900146484375,75.74928283691406,24.250713348388672,1,3,6,64.76599884033203,35.23400115966797,6,15.048066154408211,13.650997803883334,15.387859291910136,13.652164963343608,16.50633056821669,13.655212909593894,14.599224869653968,3.784189633918261,4.653960350157523,5.60947179518496,0.6931471805599453,1.3862943611198906,1.9459101490553132,1.9459101490553132,0.9599636695774484,0.0,-0.1365415201001004,0.6877373192272108,-0.01433978492337839,-0.013904821085190183,-0.22191036715988946
Rosario,Argentina,argentina,-32.9593609,-60.6617024,75.2,24.8,63.82,61.77,38.23,24.9,63.9,11.0,44938712.0,16.0,9,1713560.0,294029.875,14,1847205.0,294122.53125,23,2159689.0,294196.78125,2.0909066200256348,1276000.0,278.9005432128906,63.29999923706055,36.70000076293945,1,60.10000228881836,39.89999771118164,58.62000274658203,41.380001068115234,61.54999923706055,38.45000457763672,59.812774658203125,40.187225341796875,0,0,0,62.25,37.75,0,14.354084219312988,12.591440057813722,14.429184785176524,12.591755132392036,14.58547525084206,12.592007545482694,14.059241526585625,2.302585092994046,2.70805020110221,3.1780538303479458,0.0,0.0,0.0,0.0,1.1284644524140002,5.634434337258684,-0.6014013244962975,-0.5949782067394298,-0.5785797457491155,-0.5785797804618694,1.0318876703114765
Alice Springs,Australia,australia,-23.6983884,133.8812885,74.8,25.2,43.03,41.36,58.64,19.0,65.5,16.0,25649909.0,3.0,1,23726.0,17518.693359375,1,23726.0,17518.693359375,1,23726.0,17518.693359375,1329.2996826171875,1387290.0,1290.094970703125,60.400001525878906,39.599998474121094,1,49.633331298828125,50.366668701171875,55.63999557495117,44.36000442504883,51.06000518798828,48.93999481201172,54.984127044677734,45.015872955322266,0,0,0,55.63999557495117,44.36000442504883,0,10.074368919187528,9.771080862018437,10.074368919187528,9.771080862018437,10.074368919187528,9.771080862018437,14.142863482626163,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.0,7.193159521109953,7.163245951814961,-0.6318887499717201,-0.8710601311315456,-0.23823517913656475,-0.23823519263904577,1.7082651586619753
Memphis,TN,united states,35.1460249,-90.0517638,74.8,25.2,47.81,47.2,52.8,18.9,65.7,15.0,329470935.0,34.0,6,1210333.0,13769.7919921875,15,1426430.0,14006.4716796875,22,1585019.0,14027.3798828125,8.810835838317871,1033394.0,0.0,74.76000213623047,25.239999771118164,1,64.0666732788086,35.93333435058594,63.99199676513672,36.007999420166016,63.694000244140625,36.305999755859375,74.75985717773438,25.240142822265625,1,1,1,63.74399948120117,36.25600051879883,1,14.00640691254066,9.530305105841245,14.17068607832912,9.547346157641037,14.276107583510438,9.548837691219358,13.848360056425994,1.9459101490553132,2.772588722239781,3.1354942159291497,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,2.283487472630489,0.0,-0.6255213117238759,-0.7047049129886969,-0.18790393432212424,-0.18799772486281416,-0.2097002451995045
Detroit,MI,united states,42.3315509,-83.0466403,74.1,25.9,47.81,47.2,52.8,18.9,65.7,15.0,329470935.0,34.0,36,5172208.0,79826.46875,63,6222648.0,80875.0625,85,7951589.0,81202.921875,7.364173889160156,3716929.0,0.0,74.62999725341797,25.3700008392334,1,61.37666702270508,38.62333297729492,60.30400466918945,39.69600296020508,52.409996032714844,47.590003967285156,74.6258773803711,25.374114990234375,2,2,6,58.839996337890625,41.15999984741211,3,15.458810427956886,11.287622944132625,15.643706258296781,11.300673169274864,15.88888246663318,11.304718823936614,15.128408616710344,3.6109179126442243,4.1588830833596715,4.454347296253507,1.0986122886681098,1.0986122886681098,1.9459101490553132,1.3862943611198906,2.123957571541589,0.0,0.065983877165531,-0.031002091240109247,-0.1740093732033489,-0.17403983221042715,-0.21215382820960246
Cape Town,South Africa,south africa,-33.9288301,18.4172197,73.6,26.4,76.86,77.49,22.51,29.0,65.7,5.0,58775022.0,48.0,3,5200260.0,8906187.0,6,5716170.0,8906834.0,15,6311860.0,8906987.0,0.7309001088142395,4770313.0,664.1649169921875,76.9000015258789,23.100000381469727,1,67.96333312988281,32.03666687011719,70.63800048828125,29.36199951171875,70.41400909423828,29.586002349853516,71.5750732421875,28.424922943115234,0,0,0,78.38399505615234,21.61600112915039,0,15.464219374599756,16.002256874005457,15.558809733609612,16.00232951748661,15.657941119719109,16.00234669515813,15.377922688790193,1.3862943611198906,1.9459101490553132,2.772588722239781,0.0,0.0,0.0,0.0,0.5486415673159137,6.500035005387033,0.3371344561302887,-0.10587316789709822,-0.4118521201288467,-0.4118522282061259,-0.41352790044439547
Porto Alegre,Brazil,brazil,-30.0324999,-51.2303767,72.4,27.6,67.49,68.88,31.12,21.7,69.7,9.0,211270518.0,25.0,7,2442562.0,523028256.0,21,3134534.0,523028672.0,54,4508525.0,523028864.0,0.0494811199605464,1332845.0,376.1844482421875,50.20000076293945,49.79999923706055,1,56.16666793823242,43.83333206176758,56.68000030517578,43.31999969482422,63.469993591308594,36.529998779296875,55.93925857543945,44.06074142456055,0,0,0,65.52000427246094,34.47999954223633,0,14.708558455811062,20.07514604925039,14.957991395689012,20.07514684461819,15.321480828790243,20.075147211710807,14.10282706360465,2.0794415416798357,3.091042453358316,4.007333185232471,0.0,0.0,0.0,0.0,0.04829587056032538,5.932734320434762,-0.3618471226619887,-0.43542936721238307,-0.025016337222153538,-0.025016588573863578,-0.4184644454725389
Guayaquil,Ecuador,ecuador,-2.1900572,-79.8868669,71.6,28.4,55.23,50.9,49.1,28.4,64.5,7.0,17446584.0,63.0,4,3485028.0,612051776.0,10,3876469.0,612052096.0,24,4319581.0,612052096.0,0.0701104700565338,3094420.0,125.70170593261719,44.599998474121094,55.400001525878906,1,58.76666259765625,41.233333587646484,59.5,40.5,62.159996032714844,37.84000015258789,53.260093688964844,46.73990249633789,0,0,1,53.04999923706055,46.95000076293945,1,15.06398692351947,20.23232743983915,15.17043550367144,20.232327962670595,15.278669196279555,20.232327962670595,14.945111370671032,1.6094379124341003,2.3978952727983707,3.2188758248682006,0.0,0.0,0.6931471805599453,0.6931471805599453,0.06776188618810812,4.841835551582284,1.0428504954091689,0.9723420692544327,-0.41294934877274153,-0.412949362522904,-0.5770486730014852
Albuquerque,NM,united states,35.0841034,-106.650985,71.5,28.5,47.81,47.2,52.8,18.9,65.7,15.0,329470935.0,34.0,5,930668.0,133616.796875,7,957668.0,133646.265625,9,1065171.0,133659.78125,2.4030020236968994,767499.0,0.0,70.93000030517578,29.06999969482422,1,42.206668853759766,57.7933349609375,45.68199920654297,54.31800079345703,47.96099853515625,52.03900146484375,70.9297103881836,29.070293426513672,1,1,1,45.68199920654297,54.31800079345703,1,13.743658961356472,11.802738741355215,13.772257485767899,11.802959262135925,13.87864684643298,11.803060386102596,13.55089375844349,1.791759469228055,2.0794415416798357,2.302585092994046,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.2246579901988444,0.0,-0.6931060952666958,-0.7597146065097544,-0.16304409491444424,-0.16314022216898136,-0.22056812776753565
