epoch,train_loss,train_rmse,val_rmse,lr
1,53.17674700419108,56.42606390304332,56.42660004266542,0.001
2,52.672356923421226,55.7777840966915,55.74150184587873,0.001
3,52.73727544148763,54.28440194408657,54.18922996131116,0.001
4,49.0371208190918,51.13865358376427,50.9702219833368,0.001
5,47.574035008748375,45.411263998343564,45.12089629805393,0.001
6,39.001943588256836,36.30039547126708,35.88363832931073,0.001
7,27.588844617207844,26.09375505034463,25.71221993927276,0.001
8,20.87153212229411,24.725285252118763,23.898626763697013,0.001
9,17.511943499247234,21.01084843287288,21.01776507683054,0.001
10,16.34501886367798,19.800469654996174,20.574414491434588,0.001
11,17.081401824951172,18.34004578997267,19.213768960147476,0.001
12,16.63964859644572,17.772664878219906,18.401166752981812,0.001
13,15.07418425877889,16.731904693279812,17.31493170682521,0.001
14,12.76468292872111,15.860534431841975,16.480012123998677,0.001
15,14.223747889200846,16.028647194951965,16.606037537401367,0.001
16,14.021841049194336,15.000284798689355,15.597880542116611,0.001
17,13.337536176045736,14.351103144769688,15.27909566389736,0.001
18,12.604624112447103,14.104962927327927,15.00303006798826,0.001
19,12.826575756072998,13.987033087063093,14.789946363136927,0.001
20,10.703983068466187,13.571825428937391,13.985290250873687,0.001
21,13.159116903940836,12.667748289899462,13.13893495655593,0.001
22,10.877386967341105,12.600403322518478,13.419401521002273,0.001
23,11.526227156321207,12.321041157125546,12.987114721223099,0.001
24,11.099546432495117,11.73907048232626,12.183853017544322,0.001
25,11.44388484954834,11.412470508787923,11.622876553325767,0.001
26,9.979004859924316,11.843576904492927,11.738922207982906,0.001
27,11.145280202229818,11.161787240513963,11.354870225032412,0.001
28,10.441850821177164,11.748959550666939,12.020302903156182,0.001
29,10.252479791641235,10.62944482102379,10.868852621539398,0.001
30,9.936779340108236,11.213245389978663,11.463992987454255,0.001
31,10.24895683924357,10.465672194943854,10.677265986000537,0.001
32,10.611873467763266,11.208262263750461,11.162236263189609,0.001
33,9.93679428100586,10.59011470709949,10.52375544718471,0.001
34,10.04903475443522,10.01046509156163,10.127018055208186,0.001
35,9.967868487040201,9.973636554145019,10.525682892640118,0.001
36,9.82613722483317,10.114641888504359,10.774626775740874,0.001
37,10.46577517191569,9.602246864888675,10.021953298703403,0.001
38,9.089496612548828,9.852565794315003,10.303307038943446,0.001
39,9.214151620864868,9.677586389356234,10.337171364510219,0.001
40,9.740479946136475,9.799617323966942,10.638475852516699,0.001
41,9.630404313405355,9.462529952469257,10.192964889424463,0.001
42,9.791708787282309,9.385610741224458,10.214202722071025,0.001
43,8.99666698773702,9.338474337178281,10.18208257673801,0.001
44,9.31462319691976,9.473955794032179,10.401719984995546,0.001
45,8.437131007512411,9.126343832527155,10.145404890387367,0.001
46,8.391616821289062,8.900473653358624,9.814724186887467,0.001
47,8.106741587320963,9.172799955285603,9.908467459273057,0.001
48,9.659104665120443,9.549954232554056,9.92975254585351,0.001
49,8.82093604405721,8.918106375567545,9.798475114025846,0.001
50,10.84909168879191,9.837684299371567,10.953538494526677,0.001
51,8.85654099782308,8.870547231315893,9.568553603705311,0.001
52,9.18501869837443,8.69412367966353,9.529228266241258,0.001
