feature_set_name,hidden_sizes,dropout,lr,weight_decay,optimizer,scheduler,batch_size,activation,loss_name,use_batchnorm,seed,block,run_id,n_features,uses_crime,uses_safety,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,elapsed_sec,best_epoch,feature_list
all_features,"(128, 128)",0.3,0.0003,0.002,adamw,cosine,128,relu,mse,False,52,block2_mixed_feature_sets,1067,45,1,1,6.154227766535833,7.902146615698106,0.7392383332339723,8.017632558869154,9.964554851436542,0.5007428238241296,8.341060155232746,10.806644049831363,0.5203162567777502,7.873668670654297,671,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | crimeindex_2023 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
crime_only_subset,"(512, 256)",0.25,0.0007,0.001,adam,cosine,256,relu,smooth_l1,False,52,block2_mixed_feature_sets,1785,2,1,0,7.496464578951323,10.0113753363327,0.5814560492599676,6.836591833161144,9.109505436595134,0.5827483041684958,8.397256903554878,10.806770529389679,0.5203050283995908,6.137860059738159,345,crimeindex_2020 | crimeindex_2023
all_without_current_crime_only,"(512, 256)",0.3,0.001,0.001,adam,cosine,128,gelu,smooth_l1,False,52,block2_mixed_feature_sets,776,44,1,1,3.8450349656325127,5.9499580868109865,0.8521635944556198,6.425407715774164,8.38844952304447,0.6461885341899454,7.682303061765783,10.807399254829777,0.5202492105760184,6.736579179763794,325,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
geo_macro_plus_city_crime_only,"(256, 256)",0.2,0.0005,0.001,adamw,plateau,64,relu,smooth_l1,True,52,block2_mixed_feature_sets,1719,13,1,0,6.994314732243464,9.544678156228882,0.619568771965522,7.435564052302663,9.317655963009505,0.5634622019149382,8.169917864332012,10.809737318194134,0.5200416103845573,4.205766439437866,135,lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists | crimeindex_2020 | crimeindex_2023
geo_macro_plus_city_crime_only,"(256, 256, 128)",0.2,0.001,0.001,adam,plateau,64,relu,mse,False,62,block2_mixed_feature_sets,1661,13,1,0,7.607250747915415,9.827253530465974,0.5967095827701561,6.918883106882978,8.789543807732015,0.6115445832315529,8.475994084676106,10.810407661584756,0.5199820812950512,4.326887369155884,141,lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists | crimeindex_2020 | crimeindex_2023
geo_macro_plus_city_crime_only,"(128, 128, 64)",0.25,0.0007,0.002,adam,cosine,256,gelu,smooth_l1,False,52,block2_mixed_feature_sets,675,13,1,0,7.813761105111929,10.157685777198573,0.5691331022024926,7.182139431092797,9.320762918977215,0.5631710278576819,8.434429372899672,10.813107194179068,0.5197423149787358,5.606796503067017,405,lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists | crimeindex_2020 | crimeindex_2023
geo_macro_plus_city_crime_only,"(128, 128)",0.2,0.0003,0.002,adamw,plateau,128,gelu,smooth_l1,False,62,block2_mixed_feature_sets,1768,13,1,0,8.033709848726712,10.429452019773066,0.5457692170317641,7.867445389352195,9.950647432020299,0.5021354667771464,8.524254836662143,10.81411609259821,0.5196526915588113,8.024085521697998,610,lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists | crimeindex_2020 | crimeindex_2023
geo_macro_plus_city_crime_only,"(128, 128, 64)",0.3,0.001,0.0005,adam,plateau,256,gelu,smooth_l1,False,52,block2_mixed_feature_sets,531,13,1,0,7.424144305654673,9.869199003550724,0.5932595224157862,6.919980153339665,9.00037275746882,0.5926858434404134,8.399998188392788,10.814246431794187,0.5196411125340009,4.382630825042725,312,lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists | crimeindex_2020 | crimeindex_2023
all_features,"(256, 256)",0.1,0.001,0.0005,adamw,plateau,256,gelu,smooth_l1,True,62,block2_mixed_feature_sets,1498,45,1,1,2.9690629206730774,4.8566650382445165,0.9015014392557441,5.457041229620213,7.38262679517721,0.7259496626805289,7.628157196418914,10.814414976445239,0.5196261392203279,3.5854222774505615,172,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | crimeindex_2023 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
geo_knn_density_macro,"(128, 128)",0.2,0.001,0.002,adam,plateau,64,gelu,smooth_l1,False,62,block2_mixed_feature_sets,966,37,1,1,5.360360618708684,7.671283247005934,0.7542522111996965,6.843283322031905,8.853214277545149,0.6058963444895804,7.815238096199783,10.814738801992767,0.519597370274838,4.528141736984253,213,lat | lon | dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
