feature_set_name,run_id,model_family,model_label,n_features,uses_crime_like,cv_mae_mean,cv_rmse_mean,cv_rmse_std,cv_r2_mean,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,rmse_overfit_gap,params_json,feature_list
all_features,473,extra_trees,extra_trees__all_features__0473,45,1,5.773635337335247,8.198685136319568,1.0166564271440433,0.7058268728295223,0.14122281338041043,0.28270771394126454,0.9996544796696817,5.91298679540051,8.14853191597025,0.7272705426932269,7.865824202028985,"{""max_depth"": 16, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400}",dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | crimeindex_2023 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
all_without_current_crime,537,extra_trees,extra_trees__all_without_current_crime__0537,44,0,5.9712581044865995,8.45959426033476,1.0605938330267806,0.6875044219861088,2.4570027124865997e-06,3.5049981876749146e-05,0.999999999994689,5.86391666666667,8.231447232285738,0.7216919916279803,8.231412182303862,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400}",dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
crime_index_only,600,rf,rf__crime_index_only__0600,2,1,7.91773504848293,10.289587304707364,0.8718705998279341,0.5368184383382127,7.079773207047768,9.44034589991283,0.6147220952173468,8.528149976897948,10.960834109657993,0.5065302718042066,1.5204882097451637,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 4, ""n_estimators"": 600}",crimeindex_2020 | crimeindex_2023
geo_demo,139,extra_trees,extra_trees__geo_demo__0139,7,0,8.491210684909168,10.95956525829261,0.9596853452333488,0.473375563626516,2.9184246723996714,4.188729088677108,0.9241487339431134,7.975007638888903,10.836144299430382,0.5176937766293686,6.647415210753274,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""n_estimators"": 400}",lat | lon | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2
geo_knn_density,385,extra_trees,extra_trees__geo_knn_density__0385,28,0,7.377098353576805,10.152481786397592,1.394282021832462,0.5500408046200156,0.147811742041033,0.252594866042365,0.9997241662985427,6.836431150570858,9.747915992788464,0.6097015181112557,9.495321126746099,"{""max_depth"": 16, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400}",lat | lon | dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city
geo_macro_crime,691,extra_trees,extra_trees__geo_macro_crime__0691,13,1,7.31866111926629,9.784268841792867,0.7532657220624915,0.5790340957745723,3.055220393120397,4.505986707020418,0.912223532084407,7.221974142156862,10.03474615660015,0.5863947067283777,5.528759449579732,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""n_estimators"": 400}",lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists | crimeindex_2020 | crimeindex_2023
geo_only,50,extra_trees,extra_trees__geo_only__0050,2,0,8.42916478903192,11.324466109473532,1.1174956168665848,0.44200118132165855,0.08638329238365812,0.30134359488384443,0.9996074253804768,7.997553002450995,11.094597871087304,0.4944123722745253,10.79325427620346,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 800}",lat | lon
geomacro,220,extra_trees,extra_trees__geomacro__0220,11,0,8.208258565881248,10.741211696072384,1.0087391376717236,0.4963644153645664,2.8797885851760836,4.196424555149675,0.9238697724468492,7.563242565359487,10.462471158741353,0.5503839001241524,6.266046603591678,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""n_estimators"": 800}",lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
geomacro_knn,306,extra_trees,extra_trees__geomacro_knn__0306,28,0,7.075417314931279,9.860521147827125,1.5342471418396029,0.5741086873771359,0.24730720379889543,0.4098913620326301,0.9992736669250541,6.3406737592556395,8.976731123362182,0.6690139113944306,8.566839761329552,"{""max_depth"": 16, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 800}",lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists | dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km
