model,split,mae,rmse,r2,n_iter
MLPRegressor_v6,train,5.171891240280824,6.835211686500969,0.798022855904956,234.0
MLPRegressor_v6,test,8.317819425551365,10.670626950469076,0.5323152805183939,
RandomForestRegressor_v6,train,2.54215058948027,3.6669706670768876,0.9418682816677955,
RandomForestRegressor_v6,test,6.520528462064624,8.934937236714276,0.6720887484521283,
