epoch,train_loss,train_rmse,val_rmse,lr
1,3398.6997884114585,56.60999928803198,56.62099621948921,0.0007
2,3197.6996256510415,56.480550114543945,56.48312571552911,0.0007
3,3005.817586263021,56.28183939388732,56.27691013186381,0.0007
4,2954.955525716146,56.003188669903174,55.98882175254457,0.0007
5,2942.892822265625,55.71414468454907,55.68817275859628,0.0007
6,2996.406005859375,55.372058619618045,55.329198317216864,0.0007
7,2902.807332356771,55.01620483335145,54.96291656637572,0.0007
8,3036.705525716146,54.90362879542538,54.84407368089605,0.0007
9,2909.9410807291665,54.666784788722744,54.603694274678865,0.0007
10,3034.5452880859375,54.343115702392,54.28425242931933,0.0007
11,2753.6488444010415,53.78731517575449,53.719437922976034,0.0007
12,3022.8712158203125,53.75579940348479,53.69056667805137,0.0007
13,2890.0939127604165,53.581127675085625,53.50646178603876,0.0007
14,2712.3694661458335,53.34714990889896,53.26605394887401,0.0007
15,2687.128133138021,52.854787262311746,52.742343811546334,0.0007
16,2751.065226236979,52.60473969092708,52.51698685992135,0.0007
17,2766.2276204427085,52.47042423551348,52.39497474971151,0.0007
18,2663.0782877604165,52.00626541799198,51.94303705505454,0.0007
19,2606.899454752604,51.8350987172697,51.80533379865344,0.0007
20,2651.7454833984375,51.68289220028507,51.65299380413929,0.0007
21,2608.390096028646,51.33812792241753,51.31253930309566,0.0007
22,2479.5560302734375,51.00586529009591,50.9666694245969,0.0007
23,2517.561767578125,50.7469847869101,50.71333965646738,0.0007
24,2524.0094401041665,50.434325059015336,50.408639864275955,0.0007
25,2478.65771484375,50.24576954511076,50.23575671233789,0.0007
26,2454.2227783203125,50.07837594460915,50.07210175227768,0.0007
27,2459.7147623697915,49.76454482113093,49.78626483985606,0.0007
28,2429.508829752604,50.02227327332101,50.05422141713515,0.0007
29,2255.056640625,49.319045827739096,49.34918967833312,0.0007
30,2311.722412109375,48.57748427884166,48.603756175843046,0.0007
31,2148.787150065104,48.0372684035691,48.06510406799446,0.0007
32,2097.3567504882812,47.30235873859191,47.330160769813,0.0007
33,2188.8788452148438,46.99754498747723,47.09094689406242,0.0007
34,1968.9669291178386,46.124047409735645,46.2215995866893,0.0007
35,2025.1176147460938,46.13311231522154,46.288172631780355,0.0007
36,2159.761515299479,46.3372985889181,46.55373943795811,0.0007
37,2149.4478963216147,46.11768305415474,46.29419746058736,0.0007
38,2112.31787109375,45.63787436046185,45.77290308444208,0.0007
39,1957.9610392252605,44.97300369553897,45.07546516359734,0.0007
40,2052.592529296875,45.144271431530655,45.30020312111594,0.0007
41,1756.1742350260417,43.77906546986332,43.89520957446245,0.0007
42,1767.9050699869792,42.996694634373156,43.130818715062055,0.0007
43,1824.139872233073,43.04889008663378,43.18831336438744,0.0007
44,1680.2429809570312,42.600726882604604,42.7582311485666,0.0007
45,1743.5010375976562,41.647902303354975,41.77582392305672,0.0007
46,1587.961201985677,41.54956471651402,41.598406524947464,0.0007
47,1636.2153727213542,41.20365303242471,41.15029649244025,0.0007
48,1660.2569986979167,41.14906808708721,41.1189863093086,0.0007
49,1501.8165283203125,40.967871901182754,40.86418101166607,0.0007
50,1434.136210123698,39.831755316076894,39.79425875867507,0.0007
51,1516.4501342773438,39.4709718709958,39.61735074965113,0.0007
52,1358.6849365234375,38.90459660887811,39.02432040491368,0.0007
53,1426.0772501627605,38.097791321425326,38.150789790967785,0.0007
54,1373.9769897460938,38.12544895798904,38.19883311802251,0.0007
55,1313.5643107096355,36.25761687523213,35.99999855612031,0.0007
56,1309.2421773274739,37.13905420058783,36.762419212972034,0.0007
57,1249.042948404948,36.534436741918675,36.160958932637364,0.0007
58,1238.8096313476562,36.329611143626124,35.98345575612679,0.0007
59,1267.530537923177,36.23458102276567,35.9696886221705,0.0007
60,1141.163350423177,35.05986829085439,34.80746765864422,0.0007
61,1076.7836608886719,34.66786902424301,34.485054772363085,0.0007
62,1235.9878845214844,34.41974775622386,34.218150669319655,0.0007
63,1033.9853515625,33.09130451893631,32.829403040525506,0.0007
64,1029.2174682617188,32.23003982477139,31.864284204089603,0.0007
65,915.7989044189453,31.14323257719769,30.710059986217352,0.0007
66,881.1697998046875,31.037137965545682,30.545959812868073,0.0007
67,949.5864562988281,30.973363043577926,30.458828964615062,0.0007
68,823.3195343017578,30.458099891839183,29.964014527028095,0.0007
69,791.0184885660807,28.762020713636876,28.2037691475238,0.0007
70,767.9999287923177,27.673565974884394,27.092396152972974,0.0007
71,745.8412221272787,27.25354713355879,26.758491223328605,0.0007
72,837.7596130371094,28.099727114952945,27.784222198036858,0.0007
73,738.1128845214844,27.251993369349613,26.934455750341154,0.0007
74,749.6771545410156,27.030950792530714,26.754521172474387,0.0007
75,781.2056884765625,27.268270836985714,26.96604103761854,0.0007
76,860.0781453450521,26.742583883589187,26.326144170079605,0.0007
77,640.5279439290365,25.47057775947962,24.948988612614617,0.0007
78,675.5470682779948,26.11146150297597,25.845550491913055,0.0007
79,593.2598775227865,25.169777339606217,24.989893273690942,0.0007
80,522.0367558797201,24.113102652901027,23.99946965601222,0.0007
81,528.6961822509766,24.535723948797745,24.44031166512908,0.0007
82,544.2394053141276,24.628694737999687,24.602282573662578,0.0007
83,499.84393310546875,23.763777188209197,23.7618766126666,0.0007
84,450.73197174072266,22.71884601473048,22.620835347971013,0.0007
85,411.3173573811849,21.92421660269112,21.825175390758705,0.0007
86,494.6807149251302,21.485492250461924,21.483009825576023,0.0007
87,435.0060729980469,21.12238136497625,20.886964949190858,0.0007
88,375.1302312215169,21.09968270976453,20.84488768168077,0.0007
89,344.7597287495931,20.002559489157324,19.729991804267296,0.0007
90,359.8073476155599,19.85170106349555,19.68067709365624,0.0007
91,361.677251180013,18.82684691445507,18.561221120008792,0.0007
92,378.65806579589844,18.34681275102511,18.373937146073825,0.0007
93,447.537841796875,18.20280142434001,18.4522776064216,0.0007
94,351.2371012369792,17.505609294442753,17.613406797348187,0.0007
95,359.26455942789715,17.533840266932888,17.62290711520062,0.0007
96,281.5350964864095,17.02575615976242,16.981017374364527,0.0007
97,284.02025095621747,17.123433917154838,17.09403107752279,0.0007
98,250.81210327148438,17.116725216199242,17.097826408003066,0.0007
99,351.56641896565753,15.828844715053604,15.646982992006796,0.0007
100,273.91315205891925,16.53700143130429,16.387604681870727,0.0007
101,247.8447723388672,15.926475896472343,15.898264536645085,0.0007
102,255.8378168741862,14.988382962388037,14.863208141837514,0.0007
103,270.6434783935547,15.457913127151187,15.499294931180941,0.0007
104,239.5988006591797,15.64227853290682,15.659762702035868,0.0007
105,187.5932757059733,14.934387395088772,14.997295554807838,0.0007
106,217.8964385986328,13.343348496510822,13.506290499134815,0.0007
107,210.08610026041666,12.988829108650052,13.232712319927035,0.0007
108,229.1357905069987,12.275112469940305,12.36100555248754,0.0007
109,263.9858881632487,13.396562229528621,13.729378368953,0.0007
110,190.8261489868164,13.689212172677582,14.09248565716341,0.0007
111,160.1620356241862,12.849567315370376,13.388485246575996,0.0007
112,145.9356174468994,12.649026272277233,13.23950318277203,0.0007
113,256.67254130045575,13.058251689048944,13.810758807044937,0.0007
114,168.84365717569986,11.79724516645075,12.442571597317794,0.0007
115,195.7867889404297,12.433715077692803,13.176980183392818,0.0007
116,127.42303466796875,11.581347063955635,12.344552583191026,0.0007
117,177.15943654378256,11.370318470042672,12.137585306693481,0.0007
118,179.7770118713379,11.8384008872318,12.635692139071077,0.0007
119,116.02415339152019,11.138701376838092,11.930248358236216,0.0007
120,131.20128885904947,10.905485065110572,11.642114378810348,0.0007
121,131.22316360473633,10.282611692987176,11.193283125781097,0.0007
122,159.35271581013998,10.833288427055983,11.804656085540662,0.0007
123,136.5563481648763,10.088135139318682,11.191043777391355,0.0007
124,103.83778127034505,10.290481852062905,11.358298043790876,0.0007
125,113.93137486775716,10.093468339942545,11.139174610532574,0.0007
126,144.8622283935547,9.828102438266244,10.829935982058284,0.0007
127,99.30526987711589,9.455071992349911,10.525012639132484,0.0007
128,105.38646062215169,9.362705884500201,10.606595428174412,0.0007
129,101.66947809855144,9.540607563092452,10.70450177594258,0.0007
130,105.23916244506836,9.662081777116395,10.846586828878392,0.0007
131,101.33179346720378,9.217488732635255,10.563666492967563,0.0007
132,118.07249577840169,8.506113509066447,9.760485705206772,0.0007
133,89.56253242492676,8.888587581028318,10.200627666759244,0.0007
134,130.08573277791342,8.384226656458187,9.580952401461547,0.0007
135,102.67712020874023,8.84318450099736,10.135201575282307,0.0007
136,96.87050882975261,8.575949430068784,9.764528705903528,0.0007
137,157.01174290974936,9.163675223843923,10.513911046918547,0.0007
138,105.12151336669922,9.251928719745559,10.662278003528597,0.0007
139,111.6122055053711,9.384265836984989,10.871642058185992,0.0007
140,86.73541514078777,8.978936065813059,10.451883829999217,0.0007
141,135.5006535847982,8.351438637293253,9.880688298425948,0.0007
142,104.02341715494792,8.127070238497325,9.694630234916694,0.0007
143,127.46257909138997,8.192170848833973,9.801193507560221,0.0007
144,106.36412048339844,8.143679310742051,9.760045902813326,0.0007
145,86.46059672037761,8.073711683021276,9.556494915241714,0.0007
146,87.79575951894124,8.094809654932696,9.44203544003428,0.0007
147,88.89143244425456,8.091018817000837,9.430894964926608,0.0007
148,86.6324011484782,8.16751431949506,9.61814410692543,0.0007
149,92.52656809488933,8.066476662340948,9.477761246932802,0.0007
150,71.15087699890137,8.04474947934832,9.458705946554257,0.0007
151,84.71750895182292,8.196411035845145,9.74217722143509,0.0007
152,102.01195780436198,7.731056974204811,9.274216078733417,0.0007
153,120.19932428995769,7.290263525721101,8.879141856518109,0.0007
154,121.78562291463216,7.457139776394101,9.446016494606415,0.0007
155,112.9033088684082,7.323139297488404,9.136447120526434,0.0007
156,100.74866612752278,7.105179920554889,9.012717477871226,0.0007
157,194.68065897623697,7.3861236749362575,9.323434682849383,0.0007
158,115.473570505778,7.596802875545327,9.711792742193387,0.0007
159,138.68900044759116,7.742854928642093,9.944060643750987,0.0007
160,100.69100952148438,8.206524714082589,10.238090753296103,0.0007
161,95.18212890625,7.360617404246029,9.235011861255668,0.0007
162,101.89648056030273,7.644302421045252,9.618601939888597,0.0007
163,116.9888521830241,7.386423636666667,9.165117560914872,0.0007
164,99.37210845947266,7.54866523028643,9.100417434400091,0.0007
165,103.26288731892903,7.438576937148322,9.230648000865132,0.0007
166,87.68339093526204,7.4244867413043725,9.316211824880455,0.0007
167,90.81965319315593,7.189195692463403,9.035682555923868,0.0007
168,109.06269963582356,7.069350214302428,8.89112125919644,0.0007
169,75.8585942586263,7.006827074252985,8.727987569148953,0.0007
170,148.5257657368978,7.248564639665515,9.221740649467394,0.0007
171,133.69553438822427,6.938132081610696,9.059246730574673,0.0007
172,85.74474716186523,6.912779532311641,8.914555967434826,0.0007
