model_family,runs,best_test_rmse,median_test_rmse,mean_test_rmse,best_test_mae,best_test_r2,mean_cv_rmse,mean_overfit_gap
extra_trees,448,8.169564496387302,8.951061055870834,9.634677814807983,5.819857598039225,0.7258608145844189,9.436246529795246,6.682514003779323
rf,672,8.790093104717828,9.250103237681117,9.975125090389163,6.37033398692811,0.682634103325807,9.621162954467124,5.606226022735703
hgb,1512,8.845085052945791,10.298683828763595,10.649300909644548,6.3162336513238975,0.6786507185074758,9.998338690872874,7.809934842540009
mlp,4536,9.174243651242142,10.942238369373126,11.409774508311177,6.669076089570332,0.6542884840557397,11.376136608139845,3.294146223020008
knn,280,9.232271400682654,10.276766578317766,10.705853072262922,6.788161309483035,0.6499013530432334,10.164531240363607,6.302298063145232
