model_name,hidden_dims,dropout,lr,weight_decay,batch_size,n_epochs,rmse,mae,r2
safety_knn_v1_deeper,"(128, 64, 32)",0.2,0.001,0.0001,32,300,9.65549463570646,7.321761608123779,0.6170673370361328
safety_knn_v1_e400,"(128, 64)",0.2,0.001,0.0001,32,400,9.705339704225404,7.266972541809082,0.6131035089492798
safety_knn_v1_e300,"(128, 64)",0.2,0.001,0.0001,32,300,9.737616083630916,7.439887046813965,0.6105258464813232
safety_knn_v1_small,"(64, 32)",0.2,0.001,0.0001,32,300,9.75134502816911,7.241537094116211,0.6094268560409546
safety_knn_v1_low_dropout,"(128, 64)",0.1,0.001,0.0001,32,300,9.815383390302836,7.437044143676758,0.6042801141738892
