run_id,model_label,model_family,feature_set_name,n_features,uses_current_city_crime_like_signal,cv_mae_mean,cv_rmse_mean,cv_r2_mean,cv_rmse_std,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,rmse_overfit_gap,params_json,feature_list
1024,mlp__geo_demo__1024,mlp,geo_demo,7,0,10.581110370010602,14.404739261770988,0.06782307239283977,4.912607593213916,8.583105703228682,10.652091805239863,0.5094671571527642,9.992570337816192,12.360785867823525,0.3724252345691468,1.7086940625836622,"{""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 128, 64], ""learning_rate_init"": 0.0007}",lat | lon | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2
969,mlp__geo_demo__0969,mlp,geo_demo,7,0,10.829862716894954,13.460353489361685,0.18486466697465168,2.6275830583745488,8.771439302509078,10.764793853313064,0.4990323022383273,10.113236302084331,12.361489075307794,0.3723538268399029,1.5966952219947306,"{""alpha"": 0.001, ""batch_size"": 64, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.0003}",lat | lon | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2
949,mlp__geo_demo__0949,mlp,geo_demo,7,0,10.392586233234884,12.625402305315804,0.2997634384818362,0.6983784565510508,8.874718658457072,11.045921918084927,0.47252458007675,10.06530262958251,12.362322761184057,0.3722691643220528,1.3164008430991299,"{""alpha"": 0.0005, ""batch_size"": 256, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.0007}",lat | lon | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2
864,mlp__geo_demo__0864,mlp,geo_demo,7,0,10.838811486122248,13.381576410971178,0.2023669569890913,2.22118221987617,8.42713067662054,10.395233287451788,0.5328387961728365,10.00417941060755,12.36259708648739,0.37224130477399564,1.9673637990356028,"{""alpha"": 0.0005, ""batch_size"": 64, ""hidden_layer_sizes"": [128, 128], ""learning_rate_init"": 0.0003}",lat | lon | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2
3126,mlp__geo_knn_density__3126,mlp,geo_knn_density,28,0,9.030270276682533,11.828550636473837,0.3863258623345992,0.948052068694962,5.529560079702134,7.458949731835303,0.7594786408541155,9.516049699654976,12.36356533865648,0.37214296742352293,4.904615606821177,"{""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.001}",lat | lon | dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city
906,mlp__geo_demo__0906,mlp,geo_demo,7,0,10.13279929410026,12.4105372905363,0.3263760546656604,1.1111416310069209,8.644686241180436,10.6499088524704,0.5096681881475862,10.043250683607994,12.364089972065686,0.37208968153790445,1.7141811195952865,"{""alpha"": 0.0005, ""batch_size"": 128, ""hidden_layer_sizes"": [256, 256], ""learning_rate_init"": 0.0003}",lat | lon | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2
3135,mlp__geo_knn_density__3135,mlp,geo_knn_density,28,0,9.178532948952409,11.833238026962329,0.3869605837258682,1.0344881836970414,5.554207554657211,7.40935100467281,0.7626667277997763,9.527053549497518,12.364116578850558,0.3720869790838176,4.954765574177748,"{""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",lat | lon | dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city
950,mlp__geo_demo__0950,mlp,geo_demo,7,0,10.432166239393982,12.691125770332775,0.2943629069048147,0.4909136594060291,8.07554031794819,10.01429845912795,0.5664498408335591,9.611698664221104,12.370704563872758,0.3714176577252212,2.356406104744808,"{""alpha"": 0.0005, ""batch_size"": 256, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.001}",lat | lon | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2
1063,mlp__geo_demo__1063,mlp,geo_demo,7,0,10.935468517197299,13.622884198477726,0.149516028708688,3.1923008988722357,8.48193632317298,10.50396354199587,0.5230150238281295,10.123213970047074,12.371910745133848,0.37129507437501297,1.8679472031379785,"{""alpha"": 0.001, ""batch_size"": 256, ""hidden_layer_sizes"": [256, 128, 64], ""learning_rate_init"": 0.0007}",lat | lon | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2
2918,mlp__geo_knn_density__2918,mlp,geo_knn_density,28,0,9.28318732656859,11.921668099754223,0.37661015796709363,0.8683264309850659,5.894882188682515,7.774895919728367,0.7386710902565896,9.673045163401095,12.373244541690688,0.3711595076570643,4.598348621962321,"{""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.0007}",lat | lon | dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city
