run_id,model_label,model_family,feature_set_name,n_features,uses_current_city_crime_like_signal,cv_mae_mean,cv_rmse_mean,cv_r2_mean,cv_rmse_std,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,rmse_overfit_gap,params_json,feature_list
7124,knn__rf_top_35__7124,knn,rf_top_35,35,1,7.049393376936713,9.217091034980339,0.6301642758410596,1.0258704162049428,1.0703556316346638e-06,2.5511901871175016e-06,0.9999999999999719,7.493363584020604,9.999347749104952,0.589307614511723,9.999345197914765,"{""n_neighbors"": 15, ""p"": 2, ""weights"": ""distance""}",crimeindex_2023 | wavg_crime_k5 | wavg_safety_k5 | safetyindex_2020 | crimeindex_2020 | log1p_sum_pop_50km | log1p_sum_pop_100km | log1p_pop_of_nearest_large_city | crime_nearest_labeled_city | safety_nearest_labeled_city | lon | avg_safety_same_country_k5 | log1p_dist_nearest_labeled_city | dist_nearest_labeled_city | avg_crime_same_country_k5 | avg_crime_k10 | lat | log1p_num_cities_50km | avg_safety_k10 | log1p_dist_to_nearest_large_city | log1p_num_cities_100km | dist_to_nearest_large_city | log1p_pop_gravity_100km | log1p_pop_gravity_50km | avg_crime_k5 | avg_safety_k5 | unemployment | density_per_km2 | age_15_64 | log1p_num_labeled_within_250km | tourists | homicide_rate | gdp | urban_population_growth | log1p_num_labeled_within_50km
5534,mlp__rf_top_20__5534,mlp,rf_top_20,20,1,7.310514676284745,9.995250562337924,0.5562000291653444,0.955385910234745,5.37299153785969,7.130715605750859,0.780181358107376,7.4065054004503725,9.999597863946528,0.5892870688625093,2.8688822581956694,"{""alpha"": 0.0001, ""batch_size"": 64, ""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.001}",crimeindex_2023 | wavg_crime_k5 | wavg_safety_k5 | safetyindex_2020 | crimeindex_2020 | log1p_sum_pop_50km | log1p_sum_pop_100km | log1p_pop_of_nearest_large_city | crime_nearest_labeled_city | safety_nearest_labeled_city | lon | avg_safety_same_country_k5 | log1p_dist_nearest_labeled_city | dist_nearest_labeled_city | avg_crime_same_country_k5 | avg_crime_k10 | lat | log1p_num_cities_50km | avg_safety_k10 | log1p_dist_to_nearest_large_city
4992,knn__rf_top_15__4992,knn,rf_top_15,15,1,6.363375913621757,8.697504752968706,0.6706040699906005,0.942402772358528,0.0,0.0,1.0,7.36103279282715,9.999914200943483,0.5892610826674483,9.999914200943483,"{""n_neighbors"": 11, ""p"": 2, ""weights"": ""distance""}",crimeindex_2023 | wavg_crime_k5 | wavg_safety_k5 | safetyindex_2020 | crimeindex_2020 | log1p_sum_pop_50km | log1p_sum_pop_100km | log1p_pop_of_nearest_large_city | crime_nearest_labeled_city | safety_nearest_labeled_city | lon | avg_safety_same_country_k5 | log1p_dist_nearest_labeled_city | dist_nearest_labeled_city | avg_crime_same_country_k5
4930,hgb__rf_top_15__4930,hgb,rf_top_15,15,1,6.674903824733045,9.06437553903623,0.6369867612171785,1.1045611096383878,1.4567207943183382,1.935716014150943,0.9838012473230473,7.245623512173372,10.000047155000374,0.5892501606200555,8.064331140849431,"{""l2_regularization"": 0.1, ""learning_rate"": 0.08, ""max_depth"": null, ""max_iter"": 200, ""min_samples_leaf"": 20}",crimeindex_2023 | wavg_crime_k5 | wavg_safety_k5 | safetyindex_2020 | crimeindex_2020 | log1p_sum_pop_50km | log1p_sum_pop_100km | log1p_pop_of_nearest_large_city | crime_nearest_labeled_city | safety_nearest_labeled_city | lon | avg_safety_same_country_k5 | log1p_dist_nearest_labeled_city | dist_nearest_labeled_city | avg_crime_same_country_k5
5673,mlp__rf_top_20__5673,mlp,rf_top_20,20,1,7.702925586533539,10.394670843482892,0.5124371523327854,1.2540302304001858,5.577431256452693,7.331769271467026,0.7676108392955474,7.411771831269421,10.000368144106298,0.5892237910764508,2.668598872639272,"{""alpha"": 0.0005, ""batch_size"": 128, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.0003}",crimeindex_2023 | wavg_crime_k5 | wavg_safety_k5 | safetyindex_2020 | crimeindex_2020 | log1p_sum_pop_50km | log1p_sum_pop_100km | log1p_pop_of_nearest_large_city | crime_nearest_labeled_city | safety_nearest_labeled_city | lon | avg_safety_same_country_k5 | log1p_dist_nearest_labeled_city | dist_nearest_labeled_city | avg_crime_same_country_k5 | avg_crime_k10 | lat | log1p_num_cities_50km | avg_safety_k10 | log1p_dist_to_nearest_large_city
5642,mlp__rf_top_20__5642,mlp,rf_top_20,20,1,7.310058839862887,9.99604315547486,0.5562176638194886,0.9517626655291327,5.372867941453649,7.1296980417027145,0.7802440905453979,7.405654627917656,10.000382952577148,0.5892225745268336,2.8706849108744334,"{""alpha"": 0.0005, ""batch_size"": 64, ""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.001}",crimeindex_2023 | wavg_crime_k5 | wavg_safety_k5 | safetyindex_2020 | crimeindex_2020 | log1p_sum_pop_50km | log1p_sum_pop_100km | log1p_pop_of_nearest_large_city | crime_nearest_labeled_city | safety_nearest_labeled_city | lon | avg_safety_same_country_k5 | log1p_dist_nearest_labeled_city | dist_nearest_labeled_city | avg_crime_same_country_k5 | avg_crime_k10 | lat | log1p_num_cities_50km | avg_safety_k10 | log1p_dist_to_nearest_large_city
6510,hgb__rf_top_30__6510,hgb,rf_top_30,30,1,6.549924337183238,8.949352026506158,0.64690728387756,0.9880543491377766,2.812386366903305,3.8483877044679744,0.9359740655729665,7.312854399937682,10.000588426920691,0.5892056941554811,6.152200722452717,"{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 10, ""max_iter"": 200, ""min_samples_leaf"": 20}",crimeindex_2023 | wavg_crime_k5 | wavg_safety_k5 | safetyindex_2020 | crimeindex_2020 | log1p_sum_pop_50km | log1p_sum_pop_100km | log1p_pop_of_nearest_large_city | crime_nearest_labeled_city | safety_nearest_labeled_city | lon | avg_safety_same_country_k5 | log1p_dist_nearest_labeled_city | dist_nearest_labeled_city | avg_crime_same_country_k5 | avg_crime_k10 | lat | log1p_num_cities_50km | avg_safety_k10 | log1p_dist_to_nearest_large_city | log1p_num_cities_100km | dist_to_nearest_large_city | log1p_pop_gravity_100km | log1p_pop_gravity_50km | avg_crime_k5 | avg_safety_k5 | unemployment | density_per_km2 | age_15_64 | log1p_num_labeled_within_250km
5750,mlp__rf_top_20__5750,mlp,rf_top_20,20,1,7.295489078045742,9.980858968805853,0.5574922139404108,0.974048412749439,5.3731287687603455,7.131024293058138,0.780162325881965,7.407742210363546,10.000710734362807,0.5891956460451345,2.869686441304669,"{""alpha"": 0.001, ""batch_size"": 64, ""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.001}",crimeindex_2023 | wavg_crime_k5 | wavg_safety_k5 | safetyindex_2020 | crimeindex_2020 | log1p_sum_pop_50km | log1p_sum_pop_100km | log1p_pop_of_nearest_large_city | crime_nearest_labeled_city | safety_nearest_labeled_city | lon | avg_safety_same_country_k5 | log1p_dist_nearest_labeled_city | dist_nearest_labeled_city | avg_crime_same_country_k5 | avg_crime_k10 | lat | log1p_num_cities_50km | avg_safety_k10 | log1p_dist_to_nearest_large_city
5784,mlp__rf_top_20__5784,mlp,rf_top_20,20,1,7.727524785740821,10.468968089381642,0.5010307786178896,1.420758087809754,5.173342325733129,6.866077015728597,0.7961946267939684,7.374024799732309,10.001210989156894,0.5891545465687312,3.135133973428297,"{""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.0003}",crimeindex_2023 | wavg_crime_k5 | wavg_safety_k5 | safetyindex_2020 | crimeindex_2020 | log1p_sum_pop_50km | log1p_sum_pop_100km | log1p_pop_of_nearest_large_city | crime_nearest_labeled_city | safety_nearest_labeled_city | lon | avg_safety_same_country_k5 | log1p_dist_nearest_labeled_city | dist_nearest_labeled_city | avg_crime_same_country_k5 | avg_crime_k10 | lat | log1p_num_cities_50km | avg_safety_k10 | log1p_dist_to_nearest_large_city
5676,mlp__rf_top_20__5676,mlp,rf_top_20,20,1,7.728587234057585,10.468363910927875,0.5010641046242742,1.4213238119585718,5.1499292439531175,6.838900790604167,0.797804774645129,7.373926537448108,10.001329409692064,0.5891448171816485,3.1624286190878967,"{""alpha"": 0.0005, ""batch_size"": 128, ""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.0003}",crimeindex_2023 | wavg_crime_k5 | wavg_safety_k5 | safetyindex_2020 | crimeindex_2020 | log1p_sum_pop_50km | log1p_sum_pop_100km | log1p_pop_of_nearest_large_city | crime_nearest_labeled_city | safety_nearest_labeled_city | lon | avg_safety_same_country_k5 | log1p_dist_nearest_labeled_city | dist_nearest_labeled_city | avg_crime_same_country_k5 | avg_crime_k10 | lat | log1p_num_cities_50km | avg_safety_k10 | log1p_dist_to_nearest_large_city
